Date,Region,Product,Quantity,UnitPrice,StoreLocation,CustomerType,Discount,Salesperson,TotalPrice,PaymentMethod,Promotion,Returned,OrderID,CustomerName,ShippingCost,OrderDate,DeliveryDate,RegionManager,DeliveryDays,On_time_delivery,LateDelivery
2025-03-13,West,Monitor,16,38.49,Store C,Retail,0.15,Carlos,523.464,Debit Card,SAVE10,0,REG100069,Cust 3213,8.38,2025-03-13,2025-03-22,Wendy,9,False,True
2024-03-03,East,Tablet,15,328.36,Store D,Retail,0.15,Alice,4186.59,Gift Card,WINTER15,0,REG100070,Cust 1907,15.76,2024-03-03,2024-03-12,Eric,9,False,True
2023-10-26,South,Desk,13,484.45,Store B,Wholesale,0.05,Carlos,5982.9575,Gift Card,WINTER15,1,REG100072,Cust 4153,6.57,2023-10-26,2023-11-05,Sophie,10,False,True
2023-10-21,South,Monitor,13,195.84,Store A,Wholesale,0.05,Alice,2418.624,Credit Card,,0,REG100073,Cust 7096,33.52,2023-10-21,2023-10-28,Sophie,7,False,True
2024-02-16,North,Phone,4,83.75,Store A,Retail,0.05,Alice,318.25,Debit Card,SAVE10,1,REG100080,Cust 4108,38.82,2024-02-16,2024-02-25,Ryan,9,False,True
2024-05-03,East,Monitor,5,416.95,Store A,Wholesale,0.15,Frank,1772.0375,Online,,1,REG100081,Cust 2883,24.03,2024-05-03,2024-05-12,Eric,9,False,True
2025-05-25,East,Laptop,15,15.85,Store C,Retail,0.0,Bob,237.75,Debit Card,WINTER15,0,REG100086,Cust 5289,23.49,2025-05-25,2025-06-03,Eric,9,False,True
2025-01-12,Central,Laptop,15,411.38,Store A,Wholesale,0.05,Bob,5862.165,Online,SAVE10,0,REG100089,Cust 3273,48.51,2025-01-12,2025-01-21,Cameron,9,False,True
2025-05-13,Central,Laptop,7,460.24,Store A,Retail,0.05,Alice,3060.596,Cash,SAVE10,1,REG100094,Cust 3014,11.54,2025-05-13,2025-05-23,Cameron,10,False,True
2025-01-31,Central,Monitor,1,323.83,Store B,Wholesale,0.05,Eva,307.6385,Credit Card,WINTER15,0,REG100096,Cust 3916,27.48,2025-01-31,2025-02-08,Cameron,8,False,True
2024-03-21,North,Laptop,11,401.76,Store D,Retail,0.15,Frank,3756.456,Gift Card,SAVE10,0,REG100100,Cust 6086,48.03,2024-03-21,2024-03-30,Ryan,9,False,True
2024-07-07,North,Desk,3,566.2,Store D,Retail,0.0,Bob,1698.6,Gift Card,FREESHIP,1,REG100103,Cust 1711,28.97,2024-07-07,2024-07-17,Ryan,10,False,True
2023-09-29,East,Monitor,14,167.09,Store D,Retail,0.05,Alice,2222.297,Gift Card,SAVE10,1,REG100104,Cust 4522,47.05,2023-09-29,2023-10-08,Eric,9,False,True
2023-10-04,West,Monitor,16,36.16,Store C,Wholesale,0.1,Carlos,520.704,Debit Card,FREESHIP,0,REG100105,Cust 4233,26.64,2023-10-04,2023-10-11,Wendy,7,False,True
2025-06-09,Central,Printer,2,73.94,Store B,Wholesale,0.05,Carlos,140.486,Debit Card,SAVE10,0,REG100106,Cust 4121,28.05,2025-06-09,2025-06-16,Cameron,7,False,True
2024-06-29,East,Chair,3,168.05,Store A,Retail,0.0,Carlos,504.15,Cash,,1,REG100108,Cust 9090,21.08,2024-06-29,2024-07-06,Eric,7,False,True
2024-03-23,North,Printer,14,37.54,Store B,Retail,0.15,Alice,446.7259999999999,Credit Card,,1,REG100109,Cust 1983,49.6,2024-03-23,2024-04-02,Ryan,10,False,True
2024-07-14,South,Tablet,4,151.16,Store B,Wholesale,0.0,Alice,604.64,Gift Card,SAVE10,1,REG100110,Cust 8834,41.4,2024-07-14,2024-07-21,Sophie,7,False,True
2024-03-15,South,Tablet,17,78.58,Store A,Wholesale,0.1,Bob,1202.274,Gift Card,WINTER15,0,REG100111,Cust 9780,8.02,2024-03-15,2024-03-25,Sophie,10,False,True
2024-01-25,East,Desk,5,215.6,Store C,Wholesale,0.0,Frank,1078.0,Online,WINTER15,0,REG100114,Cust 8641,28.36,2024-01-25,2024-02-04,Eric,10,False,True
2025-04-15,Central,Laptop,18,209.5,Store D,Wholesale,0.0,Carlos,3771.0,Credit Card,FREESHIP,0,REG100115,Cust 7656,38.23,2025-04-15,2025-04-23,Cameron,8,False,True
2023-12-01,South,Desk,5,396.93,Store B,Wholesale,0.0,Diana,1984.65,Credit Card,FREESHIP,0,REG100118,Cust 6895,48.63,2023-12-01,2023-12-08,Sophie,7,False,True
2024-01-24,Central,Laptop,11,259.61,Store C,Wholesale,0.1,Carlos,2570.139,Cash,FREESHIP,0,REG100120,Cust 9969,13.73,2024-01-24,2024-01-31,Cameron,7,False,True
2023-06-14,North,Tablet,8,323.8,Store B,Retail,0.0,Diana,2590.4,Cash,SAVE10,1,REG100124,Cust 3809,35.23,2023-06-14,2023-06-22,Ryan,8,False,True
2024-07-30,Central,Printer,16,163.86,Store C,Retail,0.15,Diana,2228.496,Gift Card,FREESHIP,0,REG100126,Cust 7258,37.95,2024-07-30,2024-08-06,Cameron,7,False,True
2024-07-18,East,Tablet,5,23.41,Store B,Wholesale,0.0,Frank,117.05,Credit Card,WINTER15,0,REG100127,Cust 1151,26.44,2024-07-18,2024-07-27,Eric,9,False,True
2025-06-08,West,Tablet,7,452.56,Store A,Wholesale,0.05,Frank,3009.524,Gift Card,FREESHIP,0,REG100129,Cust 4034,46.97,2025-06-08,2025-06-15,Wendy,7,False,True
2025-05-16,North,Desk,11,465.24,Store A,Wholesale,0.0,Carlos,5117.64,Debit Card,,1,REG100130,Cust 9794,17.59,2025-05-16,2025-05-23,Ryan,7,False,True
2023-09-17,West,Laptop,12,469.44,Store B,Wholesale,0.0,Bob,5633.28,Online,FREESHIP,0,REG100132,Cust 9024,33.3,2023-09-17,2023-09-26,Wendy,9,False,True
2023-07-14,Central,Desk,12,244.8,Store B,Wholesale,0.05,Frank,2790.72,Online,FREESHIP,0,REG100135,Cust 8963,44.75,2023-07-14,2023-07-23,Cameron,9,False,True
2024-03-22,West,Laptop,13,290.93,Store C,Retail,0.05,Diana,3592.9855,Credit Card,FREESHIP,0,REG100136,Cust 9238,26.09,2024-03-22,2024-03-31,Wendy,9,False,True
2024-10-13,North,Chair,13,416.66,Store B,Wholesale,0.15,Bob,4604.093,Credit Card,WINTER15,0,REG100141,Cust 5711,21.74,2024-10-13,2024-10-20,Ryan,7,False,True
2025-02-17,East,Chair,11,589.48,Store B,Retail,0.0,Alice,6484.280000000001,Online,WINTER15,0,REG100142,Cust 5461,49.93,2025-02-17,2025-02-25,Eric,8,False,True
2025-06-11,North,Phone,18,152.84,Store C,Retail,0.15,Diana,2338.452,Debit Card,FREESHIP,1,REG100143,Cust 8905,20.3,2025-06-11,2025-06-20,Ryan,9,False,True
2023-04-23,West,Chair,17,332.38,Store A,Retail,0.1,Frank,5085.414,Credit Card,SAVE10,1,REG100147,Cust 4734,33.81,2023-04-23,2023-05-02,Wendy,9,False,True
2025-05-11,Central,Chair,15,210.94,Store C,Wholesale,0.05,Frank,3005.895,Online,SAVE10,0,REG100148,Cust 5895,10.91,2025-05-11,2025-05-21,Cameron,10,False,True
2025-01-20,North,Monitor,3,386.29,Store C,Retail,0.15,Carlos,985.0395,Credit Card,FREESHIP,0,REG100150,Cust 5406,32.45,2025-01-20,2025-01-30,Ryan,10,False,True
2025-03-22,North,Tablet,5,225.99,Store C,Retail,0.0,Eva,1129.95,Online,SAVE10,1,REG100151,Cust 5750,10.88,2025-03-22,2025-03-30,Ryan,8,False,True
2023-06-22,South,Chair,14,291.09,Store A,Retail,0.0,Carlos,4075.26,Cash,,0,REG100157,Cust 7067,39.98,2023-06-22,2023-06-30,Sophie,8,False,True
2023-03-11,South,Monitor,6,93.92,Store B,Wholesale,0.15,Eva,478.992,Credit Card,FREESHIP,0,REG100161,Cust 4438,11.0,2023-03-11,2023-03-18,Sophie,7,False,True
2024-02-23,South,Monitor,16,120.22,Store D,Retail,0.15,Bob,1634.992,Cash,SAVE10,0,REG100163,Cust 1489,8.42,2024-02-23,2024-03-01,Sophie,7,False,True
2024-01-30,North,Monitor,11,118.8,Store A,Retail,0.05,Eva,1241.46,Online,SAVE10,0,REG100164,Cust 6649,39.32,2024-01-30,2024-02-06,Ryan,7,False,True
2023-12-21,North,Desk,7,284.7,Store D,Wholesale,0.05,Bob,1893.255,Gift Card,,0,REG100167,Cust 8184,5.36,2023-12-21,2023-12-30,Ryan,9,False,True
2023-05-25,West,Laptop,20,343.25,Store C,Wholesale,0.05,Alice,6521.75,Debit Card,FREESHIP,0,REG100168,Cust 2490,28.77,2023-05-25,2023-06-02,Wendy,8,False,True
2025-06-30,Central,Chair,6,95.24,Store D,Wholesale,0.15,Diana,485.7239999999999,Gift Card,FREESHIP,0,REG100169,Cust 1647,18.72,2025-06-30,2025-07-08,Cameron,8,False,True
2025-02-12,West,Desk,13,104.8,Store B,Retail,0.05,Diana,1294.28,Credit Card,WINTER15,0,REG100170,Cust 2017,7.79,2025-02-12,2025-02-19,Wendy,7,False,True
2023-02-03,South,Tablet,10,325.18,Store C,Wholesale,0.1,Alice,2926.62,Cash,WINTER15,0,REG100172,Cust 4877,47.39,2023-02-03,2023-02-13,Sophie,10,False,True
2024-03-01,East,Monitor,17,542.82,Store A,Wholesale,0.0,Alice,9227.94,Debit Card,WINTER15,1,REG100173,Cust 9112,7.13,2024-03-01,2024-03-08,Eric,7,False,True
2023-05-24,North,Tablet,14,207.48,Store C,Wholesale,0.05,Eva,2759.483999999999,Online,,0,REG100174,Cust 8172,5.7,2023-05-24,2023-06-02,Ryan,9,False,True
2024-07-11,East,Laptop,6,555.03,Store C,Retail,0.1,Frank,2997.162,Credit Card,,1,REG100178,Cust 5602,23.69,2024-07-11,2024-07-20,Eric,9,False,True
2025-06-30,North,Laptop,16,76.17,Store D,Wholesale,0.1,Alice,1096.848,Cash,WINTER15,0,REG100180,Cust 1312,41.88,2025-06-30,2025-07-09,Ryan,9,False,True
2024-11-06,South,Printer,3,503.55,Store C,Wholesale,0.1,Bob,1359.585,Credit Card,WINTER15,0,REG100181,Cust 6315,37.49,2024-11-06,2024-11-13,Sophie,7,False,True
2023-12-09,West,Printer,18,421.93,Store D,Retail,0.05,Bob,7215.003,Gift Card,WINTER15,0,REG100184,Cust 7901,23.42,2023-12-09,2023-12-18,Wendy,9,False,True
2023-02-08,South,Tablet,7,247.53,Store C,Wholesale,0.15,Alice,1472.8035,Gift Card,FREESHIP,0,REG100187,Cust 2471,13.63,2023-02-08,2023-02-16,Sophie,8,False,True
2024-06-28,West,Tablet,6,176.51,Store C,Wholesale,0.15,Carlos,900.2009999999999,Debit Card,FREESHIP,1,REG100188,Cust 3068,31.02,2024-06-28,2024-07-07,Wendy,9,False,True
2024-04-15,West,Laptop,2,143.43,Store D,Wholesale,0.0,Bob,286.86,Credit Card,,0,REG100189,Cust 3848,36.94,2024-04-15,2024-04-22,Wendy,7,False,True
2023-11-27,East,Monitor,12,538.5,Store C,Wholesale,0.05,Alice,6138.9,Cash,SAVE10,0,REG100190,Cust 7777,18.54,2023-11-27,2023-12-06,Eric,9,False,True
2024-12-13,South,Printer,15,57.14,Store B,Wholesale,0.15,Carlos,728.535,Debit Card,FREESHIP,0,REG100193,Cust 8304,7.02,2024-12-13,2024-12-22,Sophie,9,False,True
2025-01-17,Central,Tablet,18,124.18,Store B,Wholesale,0.15,Carlos,1899.954,Debit Card,SAVE10,0,REG100194,Cust 3630,45.77,2025-01-17,2025-01-26,Cameron,9,False,True
2023-04-11,West,Printer,3,486.52,Store B,Wholesale,0.1,Carlos,1313.604,Gift Card,,0,REG100198,Cust 5739,16.5,2023-04-11,2023-04-20,Wendy,9,False,True
2024-04-09,West,Desk,2,117.47,Store C,Wholesale,0.0,Eva,234.94,Credit Card,FREESHIP,0,REG100201,Cust 1216,6.58,2024-04-09,2024-04-16,Wendy,7,False,True
2023-04-27,Central,Tablet,8,536.43,Store B,Retail,0.0,Carlos,4291.44,Cash,,1,REG100206,Cust 8171,14.58,2023-04-27,2023-05-07,Cameron,10,False,True
2024-08-07,East,Phone,1,94.33,Store A,Wholesale,0.0,Carlos,94.33,Online,,0,REG100207,Cust 2004,49.17,2024-08-07,2024-08-17,Eric,10,False,True
2023-04-15,West,Laptop,16,489.94,Store C,Retail,0.1,Frank,7055.136,Cash,SAVE10,0,REG100208,Cust 4214,9.69,2023-04-15,2023-04-25,Wendy,10,False,True
2023-06-19,West,Printer,17,595.57,Store D,Retail,0.15,Bob,8605.9865,Credit Card,WINTER15,0,REG100210,Cust 2082,9.73,2023-06-19,2023-06-28,Wendy,9,False,True
2023-12-29,East,Printer,1,180.12,Store A,Wholesale,0.1,Eva,162.108,Debit Card,,0,REG100211,Cust 3001,27.07,2023-12-29,2024-01-07,Eric,9,False,True
2024-08-05,West,Tablet,6,187.06,Store B,Wholesale,0.1,Frank,1010.124,Debit Card,FREESHIP,0,REG100214,Cust 3386,11.03,2024-08-05,2024-08-13,Wendy,8,False,True
2023-05-16,East,Tablet,4,85.16,Store D,Wholesale,0.1,Carlos,306.576,Credit Card,,0,REG100216,Cust 3434,38.51,2023-05-16,2023-05-23,Eric,7,False,True
2023-02-14,North,Tablet,12,451.51,Store B,Wholesale,0.15,Carlos,4605.402,Online,WINTER15,0,REG100217,Cust 1501,9.54,2023-02-14,2023-02-22,Ryan,8,False,True
2024-06-03,Central,Tablet,1,259.87,Store D,Retail,0.15,Eva,220.8895,Gift Card,FREESHIP,0,REG100218,Cust 9683,19.2,2024-06-03,2024-06-12,Cameron,9,False,True
2023-11-08,Central,Tablet,20,268.25,Store D,Retail,0.05,Diana,5096.75,Cash,FREESHIP,0,REG100219,Cust 5416,20.96,2023-11-08,2023-11-15,Cameron,7,False,True
2025-03-20,West,Laptop,18,493.06,Store D,Wholesale,0.05,Diana,8431.326,Cash,WINTER15,1,REG100221,Cust 3572,46.87,2025-03-20,2025-03-28,Wendy,8,False,True
2024-02-22,West,Monitor,4,36.82,Store C,Wholesale,0.05,Frank,139.916,Credit Card,WINTER15,1,REG100222,Cust 6372,24.86,2024-02-22,2024-03-01,Wendy,8,False,True
2025-04-02,North,Printer,12,413.45,Store D,Retail,0.15,Bob,4217.19,Cash,FREESHIP,0,REG100223,Cust 6109,23.25,2025-04-02,2025-04-10,Ryan,8,False,True
2023-07-07,East,Tablet,3,71.91,Store B,Wholesale,0.0,Alice,215.73,Gift Card,WINTER15,1,REG100228,Cust 7137,46.25,2023-07-07,2023-07-17,Eric,10,False,True
2024-03-31,West,Laptop,7,120.6,Store B,Wholesale,0.0,Diana,844.1999999999999,Online,WINTER15,0,REG100230,Cust 4878,43.8,2024-03-31,2024-04-08,Wendy,8,False,True
2024-08-14,South,Phone,20,14.33,Store D,Wholesale,0.1,Carlos,257.9400000000001,Debit Card,,0,REG100233,Cust 9599,6.22,2024-08-14,2024-08-21,Sophie,7,False,True
2024-04-01,Central,Desk,17,480.62,Store C,Wholesale,0.15,Carlos,6944.959,Online,FREESHIP,0,REG100236,Cust 7607,37.09,2024-04-01,2024-04-09,Cameron,8,False,True
2024-06-13,South,Chair,5,555.84,Store C,Retail,0.05,Diana,2640.24,Credit Card,,0,REG100237,Cust 4768,29.4,2024-06-13,2024-06-20,Sophie,7,False,True
2023-01-01,Central,Chair,11,468.22,Store D,Retail,0.0,Carlos,5150.42,Debit Card,WINTER15,0,REG100241,Cust 6437,19.92,2023-01-01,2023-01-11,Cameron,10,False,True
2023-05-02,Central,Printer,13,134.2,Store A,Wholesale,0.05,Eva,1657.37,Credit Card,WINTER15,0,REG100243,Cust 8678,9.6,2023-05-02,2023-05-10,Cameron,8,False,True
2024-12-27,South,Monitor,14,551.14,Store C,Wholesale,0.1,Diana,6944.364,Online,FREESHIP,1,REG100245,Cust 1960,12.35,2024-12-27,2025-01-05,Sophie,9,False,True
2024-03-24,East,Laptop,6,595.11,Store C,Wholesale,0.0,Diana,3570.66,Cash,SAVE10,1,REG100247,Cust 4944,28.92,2024-03-24,2024-03-31,Eric,7,False,True
2024-12-26,East,Laptop,6,516.66,Store C,Wholesale,0.05,Bob,2944.962,Online,,1,REG100248,Cust 9618,5.15,2024-12-26,2025-01-03,Eric,8,False,True
2025-06-01,South,Laptop,13,306.16,Store A,Wholesale,0.15,Frank,3383.068,Cash,SAVE10,0,REG100250,Cust 4689,25.16,2025-06-01,2025-06-10,Sophie,9,False,True
2024-08-10,East,Phone,20,337.37,Store C,Retail,0.1,Diana,6072.66,Gift Card,,0,REG100252,Cust 2724,43.17,2024-08-10,2024-08-17,Eric,7,False,True
2025-03-02,South,Phone,12,34.24,Store C,Retail,0.1,Frank,369.792,Cash,,0,REG100253,Cust 2823,17.64,2025-03-02,2025-03-10,Sophie,8,False,True
2023-02-21,East,Tablet,4,477.05,Store B,Wholesale,0.0,Carlos,1908.2,Credit Card,WINTER15,0,REG100254,Cust 9402,45.54,2023-02-21,2023-03-02,Eric,9,False,True
2024-11-20,East,Laptop,6,562.93,Store C,Retail,0.0,Alice,3377.58,Credit Card,WINTER15,0,REG100255,Cust 6561,43.73,2024-11-20,2024-11-27,Eric,7,False,True
2024-01-01,South,Monitor,7,208.86,Store B,Retail,0.0,Frank,1462.02,Cash,FREESHIP,0,REG100257,Cust 1015,20.64,2024-01-01,2024-01-08,Sophie,7,False,True
2024-08-25,South,Tablet,7,50.26,Store C,Retail,0.15,Diana,299.047,Cash,,0,REG100259,Cust 2501,17.12,2024-08-25,2024-09-01,Sophie,7,False,True
2023-06-10,South,Laptop,2,374.59,Store C,Wholesale,0.15,Carlos,636.803,Online,SAVE10,0,REG100260,Cust 2330,34.64,2023-06-10,2023-06-18,Sophie,8,False,True
2024-12-18,North,Printer,7,467.6,Store A,Retail,0.1,Carlos,2945.88,Debit Card,,0,REG100261,Cust 7436,15.64,2024-12-18,2024-12-26,Ryan,8,False,True
2023-01-22,West,Phone,13,140.49,Store A,Retail,0.0,Eva,1826.37,Debit Card,SAVE10,0,REG100263,Cust 3599,17.69,2023-01-22,2023-01-31,Wendy,9,False,True
2023-02-07,North,Monitor,3,506.33,Store B,Retail,0.15,Frank,1291.1415,Debit Card,FREESHIP,0,REG100264,Cust 4127,25.71,2023-02-07,2023-02-14,Ryan,7,False,True
2023-11-22,South,Monitor,8,138.73,Store A,Wholesale,0.05,Frank,1054.348,Online,WINTER15,1,REG100265,Cust 6855,48.51,2023-11-22,2023-11-29,Sophie,7,False,True
2023-02-02,North,Printer,10,538.47,Store D,Retail,0.1,Bob,4846.23,Gift Card,WINTER15,1,REG100268,Cust 9822,17.25,2023-02-02,2023-02-12,Ryan,10,False,True
2023-05-24,North,Tablet,15,505.44,Store A,Wholesale,0.1,Alice,6823.440000000001,Online,SAVE10,0,REG100269,Cust 7425,37.5,2023-05-24,2023-06-01,Ryan,8,False,True
2024-05-30,South,Printer,4,312.09,Store C,Wholesale,0.15,Diana,1061.106,Debit Card,SAVE10,1,REG100270,Cust 6468,17.99,2024-05-30,2024-06-06,Sophie,7,False,True
2024-01-23,West,Desk,15,579.58,Store C,Retail,0.15,Eva,7389.645,Credit Card,,0,REG100271,Cust 8897,31.22,2024-01-23,2024-01-31,Wendy,8,False,True
2023-02-06,North,Chair,10,217.43,Store A,Retail,0.15,Bob,1848.155,Credit Card,FREESHIP,0,REG100272,Cust 9816,33.14,2023-02-06,2023-02-15,Ryan,9,False,True
2025-03-06,East,Chair,5,89.03,Store C,Wholesale,0.1,Frank,400.635,Debit Card,WINTER15,0,REG100274,Cust 4990,22.42,2025-03-06,2025-03-16,Eric,10,False,True
2023-07-29,Central,Phone,17,6.88,Store A,Retail,0.1,Frank,105.264,Gift Card,,0,REG100275,Cust 5834,42.37,2023-07-29,2023-08-08,Cameron,10,False,True
2024-04-17,West,Tablet,7,353.9,Store C,Wholesale,0.15,Alice,2105.705,Debit Card,SAVE10,1,REG100282,Cust 3051,15.74,2024-04-17,2024-04-27,Wendy,10,False,True
2024-08-05,East,Phone,19,271.22,Store A,Wholesale,0.1,Alice,4637.862,Credit Card,WINTER15,0,REG100285,Cust 4002,35.33,2024-08-05,2024-08-15,Eric,10,False,True
2025-01-23,West,Laptop,6,532.54,Store A,Wholesale,0.0,Diana,3195.24,Debit Card,,1,REG100286,Cust 5830,25.09,2025-01-23,2025-02-02,Wendy,10,False,True
2023-09-08,West,Laptop,19,212.83,Store D,Wholesale,0.15,Carlos,3437.2045,Online,WINTER15,0,REG100289,Cust 4117,42.88,2023-09-08,2023-09-15,Wendy,7,False,True
2025-04-20,South,Laptop,5,578.92,Store A,Wholesale,0.0,Bob,2894.6,Credit Card,,1,REG100290,Cust 1385,44.09,2025-04-20,2025-04-28,Sophie,8,False,True
2024-06-20,North,Phone,3,456.92,Store C,Retail,0.1,Frank,1233.684,Gift Card,FREESHIP,0,REG100291,Cust 5185,17.57,2024-06-20,2024-06-27,Ryan,7,False,True
2023-01-11,East,Tablet,12,521.53,Store D,Retail,0.0,Eva,6258.36,Credit Card,SAVE10,1,REG100292,Cust 8704,49.59,2023-01-11,2023-01-20,Eric,9,False,True
2025-03-08,Central,Monitor,9,8.81,Store D,Retail,0.15,Alice,67.3965,Online,SAVE10,0,REG100294,Cust 3907,42.7,2025-03-08,2025-03-18,Cameron,10,False,True
2023-11-30,Central,Printer,15,354.09,Store B,Retail,0.05,Carlos,5045.782499999999,Online,,1,REG100298,Cust 4467,25.3,2023-11-30,2023-12-08,Cameron,8,False,True
2023-11-03,West,Phone,12,17.76,Store D,Retail,0.1,Carlos,191.808,Online,FREESHIP,0,REG100302,Cust 2194,12.18,2023-11-03,2023-11-11,Wendy,8,False,True
